x,y,z
357.0000,470.1509,338.3601
357.0000,468.2351,337.4965
357.0000,466.4478,336.4077
357.0000,464.8069,335.1017
357.0000,463.4471,333.5181
357.0000,462.1208,331.9112
357.0000,460.5807,330.5577
357.0000,458.7738,329.5071
357.0000,457.1662,328.2172
357.0000,455.5770,326.8429
357.0000,454.1054,325.3589
357.0000,452.5166,323.9949
357.0000,451.0560,322.4960
357.0000,449.1752,321.6598
357.0000,447.4872,320.4326
357.0000,445.8777,319.0867
357.0000,444.3220,317.6901
357.0000,442.7223,316.3312
357.0000,441.0223,315.1027
357.0000,439.4782,313.6885
357.0000,438.0124,312.1881
357.0000,436.2389,311.0755
357.0000,434.5858,309.7900
357.0000,433.0358,308.3736
357.0000,431.5701,306.8738
357.0000,430.1227,305.3515
357.0000,428.5258,303.9891
357.0000,426.8161,302.7855
357.0000,425.2359,301.4411
357.0000,423.5133,300.2403
357.0000,421.9579,298.8306
357.0000,420.3339,297.5038
357.0000,418.6907,296.2005
357.0000,416.9763,295.0159
355.9808,417.0259,295.0586
354.9788,417.1761,295.1878
354.0113,417.4241,295.4012
353.0919,417.7614,295.6914
352.2290,418.1759,296.0481
351.4261,418.6548,296.4601
350.6824,419.1859,296.9171
349.9950,419.7589,297.4102
349.3597,420.3657,297.9323
348.7721,420.9994,298.4776
348.2278,421.6551,299.0418
347.7229,422.3286,299.6214
347.2538,423.0169,300.2136
346.8172,423.7173,300.8163
346.4104,424.4280,301.4278
346.0310,425.1473,302.0468
345.6767,425.8740,302.6721
345.3459,426.6070,303.3028
345.0367,427.3454,303.9382
344.7478,428.0886,304.5776
344.4780,428.8358,305.2206
344.2260,429.5866,305.8666
343.9910,430.3406,306.5154
343.7720,431.0973,307.1665
343.5684,431.8565,307.8198
343.3793,432.6178,308.4749
343.2042,433.3811,309.1316
343.0425,434.1461,309.7899
342.8938,434.9126,310.4494
342.7577,435.6804,311.1101
342.6337,436.4494,311.7718
342.5215,437.2194,312.4344
342.4208,437.9904,313.0978
342.3313,438.7621,313.7618
342.2529,439.5346,314.4265
342.1853,440.3076,315.0917
342.1284,441.0811,315.7573
342.0821,441.8551,316.4232
342.0461,442.6293,317.0894
342.0205,443.4038,317.7558
342.0051,444.1784,318.4224
342.0000,444.9531,319.0890
342.0051,445.7279,319.7556
342.0205,446.5025,320.4222
342.0461,447.2770,321.0886
342.0821,448.0512,321.7548
342.1284,448.8252,322.4207
342.1853,449.5987,323.0863
342.2529,450.3717,323.7515
342.3313,451.1442,324.4161
342.4208,451.9159,325.0802
342.5215,452.6869,325.7436
342.6337,453.4569,326.4062
342.7577,454.2259,327.0679
342.8938,454.9937,327.7286
343.0425,455.7602,328.3881
343.2042,456.5252,329.0463
343.3793,457.2885,329.7031
343.5684,458.0498,330.3582
343.7720,458.8090,331.0115
343.9910,459.5657,331.6626
344.2260,460.3197,332.3114
344.4780,461.0705,332.9574
344.7478,461.8177,333.6004
345.0367,462.5608,334.2398
345.3459,463.2993,334.8752
345.6767,464.0323,335.5059
346.0310,464.7589,336.1312
346.4104,465.4783,336.7502
346.8172,466.1890,337.3617
347.2538,466.8894,337.9644
347.7229,467.5777,338.5566
348.2278,468.2512,339.1362
348.7721,468.9069,339.7003
349.3597,469.5406,340.2457
349.9950,470.1473,340.7677
350.6824,470.7204,341.2608
351.4261,471.2515,341.7178
352.2290,471.7304,342.1299
353.0919,472.1449,342.4866
354.0113,472.4822,342.7768
354.9788,472.7302,342.9902
355.9808,472.8804,343.1194
357.0000,472.9300,343.1621
357.0000,472.9300,345.3362
357.0000,472.9383,347.5100
357.0000,472.8211,349.6762
357.0000,472.5524,351.8323
357.0000,472.3410,353.9921
357.0000,472.1283,356.1509
357.0000,472.1500,358.3239
357.0000,472.1500,360.4980
357.0000,472.1577,362.6718
357.0000,471.9904,364.8319
357.0000,471.7342,366.9897
357.0000,471.7600,369.1624
357.0000,471.4798,371.2872
357.0000,471.4755,373.4208
357.0000,469.4006,373.3315
357.0000,467.7868,371.9072
357.0000,466.3811,370.2495
357.0000,465.0334,368.5475
357.0000,463.4368,367.0760
357.0000,461.6760,365.8228
357.0000,459.8180,364.7305
357.0000,458.0383,363.4885
355.9738,458.0475,363.4687
354.9497,458.0761,363.4077
353.9299,458.1254,363.3027
352.9174,458.1966,363.1508
351.9156,458.2913,362.9490
350.9285,458.4106,362.6945
349.9608,458.5558,362.3850
349.0180,458.7279,362.0180
348.1060,458.9278,361.5919
347.2315,459.1558,361.1057
346.4016,459.4121,360.5593
345.6235,459.6962,359.9536
344.9046,460.0071,359.2906
344.2521,460.3434,358.5737
343.6725,460.7030,357.8070
343.1720,461.0833,356.9961
342.7555,461.4815,356.1470
342.4274,461.8944,355.2668
342.1907,462.3183,354.3629
342.0478,462.7498,353.4429
342.0000,463.1850,352.5150
342.0478,463.6203,351.5870
342.1907,464.0517,350.6671
342.4274,464.4757,349.7631
342.7555,464.8885,348.8829
343.1720,465.2868,348.0339
343.6725,465.6671,347.2229
344.2521,466.0267,346.4563
344.9046,466.3630,345.7393
345.6235,466.6739,345.0763
346.4016,466.9580,344.4706
347.2315,467.2143,343.9242
348.1060,467.4423,343.4380
349.0180,467.6421,343.0120
349.9608,467.8143,342.6449
350.9285,467.9595,342.3354
351.9156,468.0788,342.0810
352.9174,468.1734,341.8792
353.9299,468.2447,341.7272
354.9497,468.2940,341.6222
355.9738,468.3226,341.5612
357.0000,468.3318,341.5415
357.0000,468.6814,343.5356
357.0000,468.6371,345.5817
357.0000,468.6377,347.6273
357.0000,468.8314,349.6631
357.0000,468.7095,351.6077
357.0000,467.8896,353.4796
357.0000,467.3079,355.4403
357.0000,466.6994,357.3719
357.0000,465.7374,359.1778
357.0000,464.2105,360.2975
357.0000,462.1900,360.5200
357.0000,460.1431,360.5200
357.0000,458.1418,360.8144
357.0000,456.2595,361.6037
357.0000,454.5283,362.6876
357.0000,452.8428,363.8450
357.0000,451.4061,365.2489
357.0000,450.5604,367.1015
357.0000,449.6214,368.9088
357.0000,448.5133,370.6257
357.0000,447.2294,372.2095
357.0000,445.7139,373.5849
357.0000,444.4145,375.1478
357.0000,443.5729,377.0126
357.0000,442.8167,378.9124
357.0000,442.2129,380.8613
