x,y,z
357.0000,467.2341,297.2766
357.0000,466.6802,296.6713
357.0000,466.1719,296.0284
357.0000,465.6683,295.3807
357.0000,465.1325,294.7596
357.0000,464.5562,294.1759
357.0000,463.9736,293.5981
357.0000,463.3782,293.0338
357.0000,462.7282,292.5343
357.0000,462.0549,292.0658
357.0000,461.3478,291.6506
357.0000,460.6268,291.2604
357.0000,459.9214,290.8418
357.0000,459.2514,290.3683
357.0000,458.6079,289.8593
357.0000,457.9811,289.3299
355.9690,457.9907,289.3098
354.9401,458.0203,289.2478
353.9158,458.0713,289.1410
352.8990,458.1452,288.9863
351.8932,458.2433,288.7811
350.9028,458.3668,288.5225
349.9324,458.5172,288.2078
348.9877,458.6953,287.8351
348.0748,458.9018,287.4027
347.2004,459.1373,286.9098
346.3715,459.4017,286.3566
345.5955,459.6943,285.7441
344.8797,460.0142,285.0747
344.2309,460.3596,284.3517
343.6555,460.7283,283.5799
343.1592,461.1179,282.7645
342.7468,461.5252,281.9120
342.4222,461.9471,281.0291
342.1883,462.3799,280.1231
342.0472,462.8202,279.2017
342.0000,463.2641,278.2725
342.0472,463.7081,277.3433
342.1883,464.1484,276.4218
342.4222,464.5812,275.5159
342.7468,465.0030,274.6330
343.1592,465.4104,273.7804
343.6555,465.7999,272.9651
344.2309,466.1687,272.1932
344.8797,466.5141,271.4703
345.5955,466.8340,270.8009
346.3715,467.1266,270.1884
347.2004,467.3909,269.6351
348.0748,467.6264,269.1422
348.9877,467.8330,268.7099
349.9324,468.0111,268.3371
350.9028,468.1614,268.0225
351.8932,468.2850,267.7639
352.8990,468.3831,267.5586
353.9158,468.4569,267.4040
354.9401,468.5080,267.2971
355.9690,468.5376,267.2351
357.0000,468.5472,267.2151
357.0000,468.5075,268.0209
357.0000,468.5010,268.8277
357.0000,468.5186,269.6344
357.0000,468.5539,270.4405
357.0000,468.6017,271.2460
357.0000,468.6581,272.0510
357.0000,468.7193,272.8556
357.0000,468.7818,273.6601
357.0000,468.8414,274.4648
357.0000,468.8705,275.2711
357.0000,468.8911,276.0778
357.0000,468.8396,276.8823
357.0000,468.6954,277.6756
357.0000,468.4522,278.4441
357.0000,468.1412,279.1882
357.0000,467.8381,279.9359
357.0000,467.5608,280.6937
357.0000,467.2920,281.4543
357.0000,467.1211,282.2425
357.0000,466.8177,282.9873
357.0000,466.5140,283.7331
357.0000,466.2020,284.4759
357.0000,465.7573,285.1479
357.0000,465.2216,285.7504
357.0000,464.5619,286.2116
357.0000,463.7980,286.4562
357.0000,462.9938,286.5117
357.0000,462.1869,286.5184
357.0000,461.3806,286.5321
357.0000,460.5758,286.4823
