x,y,z
287.0000,521.4441,222.4100
287.0000,519.3981,222.4352
287.0000,517.3595,222.3956
287.0000,515.5266,221.5164
287.0000,513.9621,220.1993
287.0000,512.4273,218.8465
287.0000,510.9367,217.4541
287.0000,509.6683,215.8489
287.0000,508.4788,214.1842
287.0000,507.4819,212.3968
287.0000,506.6245,210.5385
287.0000,505.8724,208.6351
287.0000,505.1700,206.7126
287.0000,504.4788,204.7860
287.0000,503.8595,202.8357
287.0000,503.2622,200.8780
287.0000,502.7052,198.9085
287.0000,502.0874,196.9577
287.0000,501.3785,195.0415
287.0000,500.4611,193.2122
287.0000,499.9664,191.2990
285.9744,500.0057,191.2842
284.9561,500.1264,191.2388
283.9533,500.3312,191.1617
282.9746,500.6205,191.0528
282.0282,500.9922,190.9128
281.1214,501.4422,190.7435
280.2596,501.9641,190.5470
279.4467,502.5506,190.3262
278.6846,503.1943,190.0839
277.9738,503.8874,189.8230
277.3136,504.6231,189.5460
276.7025,505.3951,189.2554
276.1385,506.1980,188.9532
275.6196,507.0270,188.6411
275.1434,507.8783,188.3207
274.7078,508.7483,187.9931
274.3108,509.6344,187.6596
273.9502,510.5341,187.3209
273.6245,511.4453,186.9779
273.3320,512.3663,186.6312
273.0712,513.2957,186.2813
272.8411,514.2321,185.9288
272.6404,515.1745,185.5741
272.4682,516.1218,185.2175
272.3239,517.0731,184.8594
272.2066,518.0277,184.5000
272.1159,518.9848,184.1397
272.0514,519.9438,183.7787
272.0129,520.9040,183.4172
272.0000,521.8649,183.0556
272.0129,522.8257,182.6939
272.0514,523.7859,182.3324
272.1159,524.7449,181.9714
272.2066,525.7020,181.6111
272.3239,526.6566,181.2518
272.4682,527.6080,180.8936
272.6404,528.5552,180.5370
272.8411,529.4976,180.1823
273.0712,530.4340,179.8298
273.3320,531.3634,179.4799
273.6245,532.2844,179.1332
273.9502,533.1957,178.7902
274.3108,534.0953,178.4515
274.7078,534.9814,178.1180
275.1434,535.8515,177.7904
275.6196,536.7027,177.4700
276.1385,537.5318,177.1579
276.7025,538.3346,176.8557
277.3136,539.1066,176.5651
277.9738,539.8423,176.2881
278.6846,540.5355,176.0272
279.4467,541.1791,175.7849
280.2596,541.7656,175.5641
281.1214,542.2875,175.3677
282.0282,542.7375,175.1983
282.9746,543.1092,175.0583
283.9533,543.3986,174.9494
284.9561,543.6033,174.8723
285.9744,543.7240,174.8269
287.0000,543.7634,174.8121
287.0000,541.7650,175.5692
287.0000,539.7550,176.2920
287.0000,537.6443,176.4500
287.0000,535.5164,176.5515
287.0000,533.4557,177.0944
287.0000,531.4685,177.8722
287.0000,529.4286,178.4985
287.0000,527.3246,178.8682
287.0000,525.2302,179.2897
287.0000,523.1434,179.7418
287.0000,521.0464,180.1344
287.0000,518.9716,180.6436
287.0000,516.8503,180.8788
287.0000,514.7673,181.3387
287.0000,512.7943,182.1534
287.0000,510.7744,182.8301
287.0000,508.6502,183.0438
287.0000,506.5256,183.2636
287.0000,504.4193,183.6132
287.0000,502.3380,184.0970
287.0000,500.2608,184.5896
287.0000,498.1415,184.8555
287.0000,496.0095,184.8800
