x,y,z
307.0000,482.2291,341.6616
307.0000,482.4155,342.1258
307.0000,482.5833,342.5952
307.0000,482.6606,343.0895
307.0000,482.7221,343.5859
307.0000,482.6670,344.0803
307.0000,482.5671,344.5704
307.0000,482.4213,345.0489
307.0000,482.2860,345.5304
307.0000,482.1517,346.0123
307.0000,482.0240,346.4959
307.0000,481.9080,346.9824
307.0000,481.7890,347.4683
307.0000,481.6674,347.9535
307.0000,481.5449,348.4385
307.0000,481.4215,348.9233
307.0000,481.2932,349.4067
307.0000,481.1535,349.8870
307.0000,481.0138,350.3673
307.0000,480.8708,350.8467
307.0000,480.7275,351.3259
307.0000,480.5823,351.8046
307.0000,480.4367,352.2832
307.0000,480.3020,352.7648
307.0000,480.1733,353.2482
307.0000,480.0474,353.7323
307.0000,479.9249,354.2173
307.0000,479.7984,354.7013
307.0000,479.6658,355.1836
307.0000,479.5379,355.6672
307.0000,479.4174,356.1526
307.0000,479.2990,356.6386
307.0000,479.1866,357.1261
307.0000,479.0742,357.6135
307.0000,478.9528,358.0988
307.0000,478.8307,358.5838
307.0000,478.7074,359.0686
307.0000,478.5837,359.5533
307.0000,478.4588,360.0377
307.0000,478.3382,360.5231
307.0000,478.2418,361.0139
307.0000,478.1350,361.5025
307.0000,478.0208,361.9895
307.0000,477.9017,362.4754
307.0000,477.7567,362.9534
307.0000,477.5877,363.4242
307.0000,477.3710,363.8749
307.0000,477.1512,364.3242
307.0000,476.9026,364.7583
307.0000,476.6539,365.1923
307.0000,476.3689,365.6028
307.0000,476.0751,366.0077
307.0000,475.7555,366.3912
307.0000,475.4134,366.7561
307.0000,475.0632,367.1127
307.0000,474.6834,367.4383
307.0000,474.3037,367.7638
307.0000,473.9272,368.0932
307.0000,473.5507,368.4225
307.0000,473.1676,368.7442
307.0000,472.7827,369.0636
307.0000,472.3807,369.3613
307.0000,471.9730,369.6509
307.0000,471.5564,369.9278
307.0000,471.1579,370.2301
307.0000,470.7848,370.5623
307.0000,470.4333,370.9180
307.0000,470.0927,371.2843
307.0000,469.7389,371.6377
307.0000,469.3623,371.9661
307.0000,468.9622,372.2650
307.0000,468.5329,372.5216
307.0000,468.0652,372.6974
307.0000,467.6004,372.8817
307.0000,467.1406,373.0785
307.0000,466.6955,373.3068
307.0000,466.2548,373.5431
307.0000,465.8217,373.7935
307.0000,465.4056,374.0708
307.0000,464.9910,374.3507
307.0000,464.5746,374.6279
307.0000,464.1591,374.9063
307.0000,463.7437,375.1851
307.0000,463.3254,375.4594
307.0000,462.9062,375.7322
307.0000,462.4832,375.9991
307.0000,462.0556,376.2587
307.0000,461.6254,376.5137
307.0000,461.1833,376.7477
307.0000,460.7371,376.9729
307.0000,460.2729,377.1594
307.0000,459.8068,377.3408
307.0000,459.3381,377.5157
307.0000,458.9193,377.7878
307.0000,458.5047,378.0676
307.0000,458.0948,378.3543
307.0000,457.7156,378.6784
307.0000,457.3552,379.0253
307.0000,457.0374,379.4101
307.0000,456.7343,379.8080
307.0000,456.4365,380.2096
307.0000,456.1744,380.6357
307.0000,455.9122,381.0617
307.0000,455.6501,381.4877
307.0000,455.4069,381.9248
307.0000,455.1652,382.3628
307.0000,454.9235,382.8007
307.0000,454.7047,383.2499
307.0000,454.5066,383.7092
307.0000,454.3084,384.1685
307.0000,454.1222,384.6324
307.0000,453.9643,385.1070
307.0000,453.8064,385.5817
307.0000,453.6614,386.0600
307.0000,453.5414,386.5456
307.0000,453.4215,387.0313
307.0000,453.3163,387.5203
307.0000,453.2117,388.0094
307.0000,453.0775,388.4913
307.0000,452.9485,388.9745
307.0000,452.8245,389.4590
307.0000,452.6425,389.9249
307.0000,452.4452,390.3845
307.0000,452.2512,390.8455
