x,y,z
288.0000,511.1076,541.3353
288.0000,510.8983,541.2431
288.0000,510.6802,541.1508
288.0000,510.4530,541.0562
288.0000,510.2161,540.9572
288.0000,509.9690,540.8515
288.0000,509.7113,540.7371
288.0000,509.4424,540.6116
288.0000,509.1619,540.4730
288.0000,508.8693,540.3190
288.0000,508.5641,540.1475
288.0000,508.2350,539.9190
288.0000,507.8843,539.7068
288.0000,507.5203,539.4788
288.0000,507.1294,539.1841
288.0000,506.7187,538.8601
288.0000,506.3508,538.5449
288.0000,505.9975,538.2070
288.0000,505.6524,537.8513
288.0000,505.3225,537.5385
288.0000,505.0148,537.2191
288.0000,504.7580,536.9001
288.0000,504.4682,536.5543
288.0000,504.2081,536.2428
288.0000,503.9835,535.9515
288.0000,503.7648,535.6652
288.0000,503.5792,535.3902
288.0000,503.3820,535.1179
288.0000,503.1847,534.8728
288.0000,502.9907,534.6360
288.0000,502.7673,534.4318
288.0000,502.5391,534.2482
288.0000,502.3079,534.0873
288.0000,502.0624,533.8947
288.0000,501.8043,533.6915
288.0000,501.5490,533.5103
288.0000,501.3335,533.3837
288.0000,501.1039,533.2547
288.0000,500.8621,533.1220
288.0000,500.6307,533.0387
288.0000,500.4318,532.9327
288.0000,500.2323,532.8439
288.0000,500.0207,532.7368
288.0000,499.8206,532.6088
288.0000,499.6351,532.4581
288.0000,499.4118,532.3042
288.0000,499.2325,532.1465
288.0000,499.0108,531.9863
288.0000,498.7729,531.7693
288.0000,498.4881,531.5304
288.0000,498.1947,531.3046
288.0000,497.8968,531.0376
288.0000,497.5969,530.7518
288.0000,497.2983,530.4480
288.0000,496.9908,530.1617
288.0000,496.6776,529.8941
288.0000,496.3969,529.6271
288.0000,496.1177,529.3427
288.0000,495.8451,529.0984
288.0000,495.6188,528.8980
288.0000,495.3876,528.6888
288.0000,495.1776,528.4957
288.0000,494.9799,528.3090
288.0000,494.7855,528.0967
288.0000,494.5637,527.9173
288.0000,494.3176,527.7178
288.0000,494.0844,527.5213
288.0000,493.8306,527.2955
288.0000,493.5787,527.0404
288.0000,493.3293,526.7901
288.0000,493.0830,526.5573
288.0000,492.8756,526.3415
288.0000,492.6738,526.1420
288.0000,492.4795,525.9371
288.0000,492.2946,525.7594
288.0000,492.0856,525.5849
288.0000,491.8885,525.4325
288.0000,491.7039,525.2990
288.0000,491.5198,525.2162
288.0000,491.3581,525.1261
288.0000,491.1638,525.0246
288.0000,490.9727,524.9635
288.0000,490.8072,524.9056
288.0000,490.5989,524.8353
288.0000,490.3702,524.7487
288.0000,490.1435,524.6419
288.0000,489.9202,524.5124
288.0000,489.7044,524.3790
288.0000,489.4652,524.2260
288.0000,489.2290,524.0315
288.0000,488.9444,523.8294
288.0000,488.6511,523.5992
288.0000,488.3316,523.3203
288.0000,488.0110,523.0264
288.0000,487.7142,522.7514
288.0000,487.4104,522.4965
288.0000,487.1259,522.2628
288.0000,486.8664,522.0192
288.0000,486.5818,521.7691
288.0000,486.2779,521.4935
288.0000,485.9809,521.2291
288.0000,485.6952,521.0129
288.0000,485.4823,520.8127
288.0000,485.2435,520.6190
288.0000,485.0282,520.3996
288.0000,484.7863,520.2132
288.0000,484.5455,520.0067
288.0000,484.2770,519.8374
288.0000,483.9847,519.6180
288.0000,483.6720,519.3710
