x,y,z
307.0000,586.2908,327.0114
307.0000,585.8282,326.1254
307.0000,585.4161,325.2134
307.0000,585.0266,324.2922
307.0000,584.6872,323.3507
307.0000,584.3577,322.4057
307.0000,584.0441,321.4553
307.0000,583.7207,320.5082
307.0000,583.3900,319.5636
307.0000,583.0388,318.6264
307.0000,582.6726,317.6951
307.0000,582.2920,316.7695
307.0000,581.8900,315.8529
307.0000,581.4895,314.9358
307.0000,581.0904,314.0179
307.0000,580.7026,313.0953
307.0000,580.3215,312.1699
307.0000,579.9567,311.2379
307.0000,579.5899,310.3067
307.0000,579.2211,309.3763
307.0000,578.8724,308.4383
307.0000,578.5311,307.4975
307.0000,578.1812,306.5598
307.0000,577.8294,305.6228
307.0000,577.4582,304.6934
307.0000,577.0926,303.7618
307.0000,576.7425,302.8242
307.0000,576.4075,301.8813
307.0000,576.0979,300.9296
307.0000,575.8112,299.9711
307.0000,575.5535,299.0040
307.0000,575.3285,298.0294
307.0000,575.1400,297.0465
307.0000,574.9960,296.0568
307.0000,574.8811,295.0625
307.0000,574.7870,294.0662
307.0000,574.6965,293.0695
307.0000,574.6084,292.0725
307.0000,574.5238,291.0753
307.0000,574.4615,290.0764
307.0000,574.4071,289.0771
307.0000,574.3561,288.0778
307.0000,574.2438,287.0833
307.0000,574.1005,286.0928
307.0000,573.9401,285.1050
307.0000,573.7697,284.1188
307.0000,573.5973,283.1329
307.0000,573.3962,282.1526
307.0000,573.2054,281.1704
307.0000,573.0389,280.1835
307.0000,572.8956,279.1930
307.0000,572.7345,278.2053
307.0000,572.5626,277.2194
307.0000,572.3983,276.2321
307.0000,572.2299,275.2456
307.0000,572.0550,274.2601
307.0000,571.8671,273.2771
307.0000,571.6740,272.2951
307.0000,571.4876,271.3118
307.0000,571.3026,270.3282
307.0000,571.1243,269.3434
307.0000,570.9480,268.3582
307.0000,570.7873,267.3704
307.0000,570.6296,266.3821
307.0000,570.4823,265.3922
307.0000,570.3779,264.3974
307.0000,570.3058,263.3992
307.0000,570.2674,262.3992
307.0000,570.2322,261.3989
307.0000,570.2088,260.3985
307.0000,570.1950,259.3978
307.0000,570.1540,258.3978
307.0000,570.1133,257.3978
307.0000,570.0674,256.3980
307.0000,570.0187,255.3984
307.0000,569.9752,254.3985
307.0000,569.9261,253.3989
307.0000,569.8723,252.3995
307.0000,569.8151,251.4003
307.0000,569.7783,250.4002
307.0000,569.7712,249.3994
307.0000,569.8199,248.4000
307.0000,569.9126,247.4036
307.0000,569.9254,246.4031
307.0000,569.8828,245.4033
307.0000,569.8042,244.4056
307.0000,569.7133,243.4089
307.0000,569.6098,242.4135
307.0000,569.4865,241.4204
307.0000,569.3446,240.4297
307.0000,569.2246,239.4361
307.0000,569.1188,238.4409
307.0000,569.0273,237.4443
307.0000,568.9516,236.4463
307.0000,568.8243,235.4538
307.0000,568.6842,234.4629
307.0000,568.4773,233.5156
307.0000,567.7594,234.1434
307.0000,567.4748,235.0905
307.0000,567.6635,236.0691
307.0000,567.9585,237.0251
307.0000,568.1802,238.0003
307.0000,568.3080,238.9921
307.0000,568.3479,239.9916
307.0000,568.3527,240.9923
307.0000,568.3315,241.9928
307.0000,568.2915,242.9928
307.0000,568.2452,243.9926
307.0000,568.2252,244.9932
307.0000,568.2221,245.9939
307.0000,568.2322,246.9947
307.0000,568.2429,247.9955
307.0000,568.2555,248.9962
307.0000,568.2704,249.9969
307.0000,568.3010,250.9973
307.0000,568.3452,251.9970
307.0000,568.4068,252.9959
307.0000,568.4731,253.9946
307.0000,568.5410,254.9931
307.0000,568.6234,255.9905
