x,y,z
309.0000,562.2128,23.2328
309.0000,562.5948,24.0155
309.0000,563.4969,24.4500
309.0000,564.4163,24.8466
309.0000,565.3432,25.2259
309.0000,566.2460,25.6582
309.0000,567.1146,26.1556
309.0000,567.8118,26.8683
309.0000,568.5535,27.5402
309.0000,569.2542,28.2557
309.0000,569.9342,28.9907
309.0000,570.6019,29.7362
309.0000,571.2305,30.5155
309.0000,571.9248,31.2349
309.0000,572.6915,31.8782
309.0000,573.4817,32.4933
309.0000,574.2546,33.1283
309.0000,575.0056,33.7866
309.0000,575.7931,34.3939
309.0000,576.4535,35.1463
309.0000,577.0691,35.9360
309.0000,577.7348,36.6832
309.0000,578.3787,37.4492
309.0000,579.0265,38.2120
309.0000,579.5571,39.0490
309.0000,579.9605,39.9651
309.0000,580.2511,40.9232
309.0000,580.5235,41.8869
309.0000,580.9107,42.8062
309.0000,581.4837,43.6271
309.0000,582.1357,44.3859
309.0000,582.8669,45.0699
309.0000,583.6156,45.7350
309.0000,584.3970,46.3598
309.0000,585.2424,46.8962
309.0000,586.1124,47.3921
309.0000,586.9625,47.9211
309.0000,587.8186,48.4406
309.0000,588.6813,48.9489
309.0000,589.4940,49.5333
309.0000,590.1269,50.1271
309.0000,590.7540,50.9075
309.0000,591.4217,51.6538
309.0000,592.1195,52.3721
309.0000,592.8268,53.0810
309.0000,593.5652,53.7570
309.0000,594.3189,54.4164
309.0000,595.0710,55.0776
309.0000,595.8233,55.7385
309.0000,596.5466,56.4304
309.0000,597.2506,57.1425
309.0000,597.9518,57.8574
309.0000,598.6282,58.5959
309.0000,599.3492,59.2906
309.0000,600.0875,59.9671
309.0000,600.8350,60.6335
309.0000,601.6562,61.1972
309.0000,602.4685,61.7816
309.0000,603.2120,62.4506
309.0000,603.8849,63.1920
309.0000,604.5263,63.9610
309.0000,605.1769,64.7207
309.0000,605.7426,65.5466
309.0000,606.2901,66.3852
309.0000,606.7272,67.2856
309.0000,607.1205,68.2063
309.0000,607.5092,69.1287
309.0000,607.9743,70.0133
309.0000,608.5014,70.8647
309.0000,609.0480,71.7016
309.0000,609.6930,72.4675
309.0000,610.3284,73.2416
309.0000,610.9929,73.9907
309.0000,611.6857,74.7135
309.0000,612.4308,75.3810
309.0000,613.2252,75.9897
309.0000,614.0148,76.6047
309.0000,614.7823,77.2479
309.0000,615.5836,77.8450
309.0000,616.4044,78.4180
309.0000,617.2001,79.0258
309.0000,617.9284,79.7105
309.0000,618.5021,80.5293
309.0000,619.0410,81.3733
309.0000,619.5126,82.2547
309.0000,619.9824,83.1390
309.0000,620.5512,83.9626
309.0000,621.1624,84.7559
309.0000,621.7538,85.5640
309.0000,622.3583,86.3624
309.0000,622.9753,87.1512
309.0000,623.6334,87.9054
309.0000,624.3359,88.6185
309.0000,625.1065,89.2547
309.0000,625.8861,89.8819
309.0000,626.6588,90.5179
309.0000,627.4647,91.1122
309.0000,628.2757,91.6995
309.0000,629.1438,92.1968
309.0000,629.9900,92.7172
309.0000,630.7200,93.4019
309.0000,631.3504,94.1800
309.0000,631.9085,95.0068
309.0000,632.3491,95.9056
309.0000,632.8141,96.7916
309.0000,633.2608,97.6861
309.0000,633.6974,98.5848
309.0000,634.1160,99.4655
309.0000,634.2164,100.4613
309.0000,634.2386,101.4625
309.0000,634.2731,102.4628
309.0000,634.3609,103.4603
309.0000,634.4604,104.4568
309.0000,634.5511,105.4541
309.0000,634.6284,106.4523
309.0000,634.6808,107.4516
309.0000,634.5312,108.4390
309.0000,634.3421,109.4211
309.0000,634.1850,110.4098
309.0000,633.9888,111.3917
309.0000,633.7051,112.3515
309.0000,633.4028,113.3061
309.0000,633.0456,114.2416
309.0000,632.6435,115.1544
309.0000,632.1744,116.0388
309.0000,631.8191,116.9714
309.0000,631.6395,117.9560
309.0000,631.4808,118.9445
309.0000,631.2158,119.9066
309.0000,630.6721,120.7371
309.0000,630.3525,121.6825
309.0000,630.1949,122.6707
309.0000,630.0389,123.6591
309.0000,629.7900,124.6291
309.0000,629.4749,125.5790
309.0000,629.1049,126.5070
309.0000,628.8712,127.4724
309.0000,628.3482,128.3170
309.0000,627.6885,129.0681
309.0000,626.9120,129.6996
309.0000,626.1031,130.2898
309.0000,625.3166,130.9095
309.0000,624.5164,131.5111
309.0000,623.7362,132.1385
309.0000,623.0639,132.8707
309.0000,622.2062,133.3835
309.0000,621.3512,133.9042
309.0000,620.4799,134.3971
309.0000,619.5723,134.8193
309.0000,618.6189,135.1076
309.0000,617.6552,135.3789
309.0000,616.7136,135.7198
309.0000,615.7981,136.1235
309.0000,614.9014,136.5693
309.0000,614.0152,137.0356
309.0000,613.1803,137.5881
309.0000,612.3601,138.1626
309.0000,611.5810,138.7879
309.0000,610.8147,139.4322
309.0000,610.0168,140.0372
309.0000,609.2165,140.6385
309.0000,608.3847,141.1961
309.0000,607.6340,141.8542
309.0000,607.0090,142.6117
309.0000,606.9584,143.6072
309.0000,606.9019,144.6003
309.0000,606.4753,145.5055
309.0000,606.0212,146.3980
309.0000,605.5832,147.2985
309.0000,605.1988,148.2230
309.0000,604.8456,149.1599
309.0000,604.4778,150.0913
309.0000,604.1487,151.0369
309.0000,603.7765,151.9660
309.0000,603.3504,152.8721
309.0000,602.7983,153.7064
309.0000,602.2598,154.5486
309.0000,601.8777,155.4688
309.0000,601.9241,156.4561
309.0000,601.7862,157.4416
309.0000,601.4714,158.3922
309.0000,601.0830,159.3148
309.0000,600.6596,160.2220
309.0000,600.2336,161.1280
309.0000,599.6778,161.9572
309.0000,599.1433,162.8019
309.0000,598.7595,163.7255
309.0000,598.2988,164.6140
309.0000,597.7606,165.4564
309.0000,597.2064,166.2892
309.0000,596.7349,167.1725
309.0000,596.3933,168.1132
309.0000,595.9721,169.0164
309.0000,595.5528,169.9169
309.0000,594.8374,170.6168
309.0000,594.1665,171.3585
309.0000,593.5459,172.1440
309.0000,592.8785,172.8906
309.0000,592.1992,173.6016
309.0000,591.2304,173.8110
309.0000,590.2941,174.1660
309.0000,589.3384,174.4626
309.0000,588.3658,174.6848
309.0000,587.3685,174.6512
309.0000,586.4290,174.3939
309.0000,585.5026,174.0162
309.0000,584.5365,173.7639
309.0000,583.7999,173.0972
309.0000,583.1862,172.3082
309.0000,582.5346,171.5488
309.0000,581.8509,170.8172
309.0000,581.2392,170.0273
309.0000,580.7063,169.1816
309.0000,580.2555,168.2877
309.0000,579.7840,167.4045
309.0000,579.3175,166.5186
309.0000,578.8342,165.6415
309.0000,578.3117,164.7873
309.0000,577.8083,163.9216
309.0000,577.3280,163.0431
309.0000,576.9021,162.1386
309.0000,576.4624,161.2389
309.0000,575.9863,160.3582
309.0000,575.5280,159.4680
309.0000,575.1230,158.5522
309.0000,574.7334,157.6297
309.0000,574.3382,156.7095
309.0000,573.9376,155.7917
309.0000,573.4570,154.9139
309.0000,572.9014,154.0826
309.0000,572.3728,153.2322
309.0000,571.9090,152.3454
309.0000,571.4882,151.4369
309.0000,571.0795,150.5228
309.0000,570.6540,149.6163
309.0000,570.2823,148.6867
309.0000,569.9230,147.7520
309.0000,569.5693,146.8151
309.0000,569.2489,145.8664
309.0000,568.9491,144.9111
309.0000,568.6657,143.9508
309.0000,568.3680,142.9953
309.0000,568.1580,142.0161
309.0000,567.9607,141.0343
309.0000,567.7964,140.0467
309.0000,567.6498,139.0561
309.0000,567.5270,138.0623
309.0000,567.3967,137.0694
309.0000,567.2564,136.0778
309.0000,567.1599,135.0814
309.0000,567.0791,134.0832
309.0000,566.9720,133.0876
309.0000,566.8761,132.0908
309.0000,566.7955,131.0926
309.0000,566.6234,130.1071
309.0000,566.3945,129.1339
309.0000,566.2081,128.1499
309.0000,566.0444,127.1621
309.0000,565.9156,126.1693
309.0000,565.8078,125.1737
309.0000,565.6889,124.1793
309.0000,565.5870,123.1831
309.0000,565.5005,122.1855
309.0000,565.4262,121.1868
309.0000,565.3329,120.1898
309.0000,565.2478,119.1920
309.0000,565.1886,118.1924
309.0000,565.1668,117.1913
309.0000,565.0477,116.1987
309.0000,564.8456,115.2180
309.0000,564.6129,114.2440
309.0000,564.4006,113.2653
309.0000,564.2152,112.2815
309.0000,564.0462,111.2944
309.0000,563.8654,110.3094
309.0000,563.6978,109.3223
309.0000,563.5501,108.3318
309.0000,563.4317,107.3375
309.0000,563.3377,106.3409
309.0000,563.3035,105.3403
309.0000,563.3197,104.3394
309.0000,563.3500,103.3390
309.0000,563.3500,102.3376
309.0000,563.3500,101.3362
309.0000,563.3500,100.3347
309.0000,563.3500,99.3333
309.0000,563.3500,98.3319
309.0000,563.3500,97.3305
