x,y,z
50.0,0.0,10.0
49.99845401972425,0.3931865174703217,10.0
49.99381617449919,0.7863487205966153,10.0
49.986086751125505,1.1794622965384327,10.0
49.97526622758464,1.5725029354623923,10.0
49.961355273009254,1.9654463320454802,10.0
49.944354747641775,2.3582681869780724,10.0
49.92426570278129,2.750944208466584,10.0
49.90108938071849,3.143450113735656,10.0
49.874827214658836,3.535761630529782,10.0
49.84548082863396,3.9278544986142854,10.0
49.81305203740122,4.319704471275553,10.0
49.777542846331485,4.7112873168204334,10.0
49.73895545128511,5.102578820074705,10.0
49.697292238476166,5.4935547838805245,10.0
49.65255578432486,5.884191030592757,10.0
49.60474885529821,6.274463403574107,10.0
49.55387440773901,6.664347768688941,10.0
49.499935587682934,7.053820015795731,10.0
49.442935730664075,7.442856060237994,10.0
49.38287836150862,7.831431844333681,10.0
49.319767194116885,8.219523338862876,10.0
49.25360613123368,8.607106544553753,10.0
49.184399264206924,8.994157493566663,10.0
49.11215087273468,9.38065225097629,10.0
49.036865424600464,9.766566916251767,10.0
48.958547575397,10.151877624734668,10.0
48.87720216823829,10.536560549114784,10.0
48.792834233460134,10.920591900903567,10.0
48.70544898830906,11.303947931905219,10.0
48.61505183661967,11.686604935685233,10.0
48.52164836848051,12.068539249036405,10.0
48.42524435988837,12.449727253442127,10.0
48.32584577239106,12.830145376536958,10.0
48.22345875271883,13.209770093564298,10.0
48.11808963240418,13.588577928831166,10.0
48.00974492739038,13.966545457159892,10.0
47.89843133762851,14.343649305336731,10.0
47.784155746663146,14.719866153557232,10.0
47.666925221206654,15.095172736868328,10.0
47.546747010702255,15.46954584660701,10.0
47.42362854687566,15.842962331835544,10.0
47.29757744327554,16.215399100773098,10.0
47.16860149480269,16.58683312222372,10.0
47.03670867722799,16.95724142700057,10.0
46.90190714669925,17.32660110934633,10.0
46.764205239236745,17.694889328349657,10.0
46.62361147021779,18.062083309357646,10.0
46.48013453385013,18.428160345384228,10.0
46.33378330263434,18.79309779851431,10.0
46.18456682681506,19.15687310130372,10.0
46.03249433382144,19.51946375817474,10.0
45.87757522769647,19.880847346807222,10.0
45.71981908851543,20.241001519525167,10.0
45.559235671793516,20.599904004678685,10.0
45.395834907882524,20.957532608021253,10.0
45.22962690135678,21.313865214082202,10.0
45.06062193038826,21.66887978753431,10.0
44.88883044611103,22.02255437455645,10.0
44.714263071974955,22.374867104191196,10.0
44.536930603088706,22.725796189697316,10.0
44.356844005552254,23.075319929897027,10.0
44.174014415778714,23.423416710518012,10.0
43.988453139805664,23.770065005529982,10.0
43.80017165259601,24.115243378475874,10.0
43.60918159732838,24.45893048379744,10.0
43.415494784677094,24.801105068155255,10.0
43.21912319208184,25.141745971742967,10.0
43.020078963006966,25.48083212959587,10.0
42.81837440619057,25.81834257289349,10.0
42.6140219948833,26.15425643025629,10.0
42.40703436607704,26.488552929036363,10.0
42.19742431972345,26.821211396601967,10.0
41.98520481794243,27.15221126161594,10.0
41.770388984220524,27.481532055307774,10.0
